gauge_pressure,temperature_in_f,sensible_btu_per_lb,latent_btu_per_lb,total
0,212,180,970,1150
1,215,183,968,1151
2,219,187,965,1153
3,222,190,964,1154
4,224,192,962,1154
5,227,195,969,1155
6,230,198,959,1157
7,232,200,957,1157
8,233,201,956,1157
9,237,206,954,1159
10,239,207,953,1160
12,244,212,949,1161
14,248,216,947,1163
16,252,224,941,1185
18,256,224,941,1185
20,259,227,939,1165
22,262,230,937,1167
24,265,233,934,1167
26,268,236,933,1169
28,271,239,930,1169
30,274,243,929,1172
32,277,246,927,1173
34,279,248,925,1173
36,282,251,923,1174
38,264,253,922,1175
40,285,256,920,1176
42,289,258,918,1176
44,291,260,917,1177
46,293,262,915,1177
48,295,264,914,1178
50,298,267,912,1179
55,300,271,909,1180
60,307,277,906,1183
65,312,282,901,1183
70,316,286,895,1184
75,320,290,895,1185
80,324,294,891,1185
85,328,298,889,1187
90,331,302,885,1185
95,335,305,883,1183
100,338,309,880,1189
105,341,312,878,1100
110,344,316,875,1191
115,347,319,873,1192
120,350,322,871,1193
125,353,325,868,1193
130,356,328,865,1194
135,358,330,864,1194
140,361,333,861,1194
145,363,336,859,1195
150,365,339,857,1195
155,365,341,855,1196
160,371,344,853,1197
165,373,346,851,1197
170,375,248,849,1197
175,377,351,847,1198
180,380,353,845,1195
185,382,355,843,1196
190,384,358,841,1199
195,386,360,839,1199
200,388,362,837,1199
205,390,364,836,1200
210,392,365,834,1200
215,394,364,832,1200
220,396,370,830,1200
225,397,372,828,1200
230,399,374,827,1201
235,401,376,825,1201
240,403,378,823,1201
245,404,389,822,1202
250,406,382,820,1202
255,408,383,819,1202
260,409,385,817,1202
265,411,387,815,1202
270,413,389,814,1203
275,414,391,812,1203
280,416,392,811,1203
285,417,394,809,1203
290,418,395,808,1203
295,420,397,806,1203
300,421,398,805,1203
305,423,400,803,1203
310,425,402,802,1204
315,426,404,800,1204
320,427,405,799,1204
325,429,407,797,1204
330,430,409,796,1204
335,432,410,794,1204
340,433,411,793,1204
345,434,413,791,1204
350,435,414,790,1204
355,437,416,789,1205
360,438,417,788,1206
365,440,419,788,1206
370,441,420,786,1206
375,442,421,784,1206
380,443,422,783,1206
385,445,424,781,1206
390,446,425,780,1206
395,447,427,778,1206
400,448,428,777,1206
450,460,439,788,1206
500,470,453,751,1204
550,479,464,740,1204
600,489,473,730,1203
650,497,483,719,1202
700,505,491,710,1201
750,513,504,696,1200
800,520,512,686,1196
900,534,529,656,1195
1000,546,544,647,1191
